GUEST_ACTIVITY_DATE,TRIP_TYPE,PROPERTY_CD,OTHER_TIME_PLAYED_IN_MIN
11-02-2020,MARKET,,0
11-02-2020,PROPERTY,LAS,0
11-02-2020,ENTERPRISE,,0
11-02-2020,PROPERTY,ILV,0
12-02-2020,MARKET,,184
12-02-2020,PROPERTY,ILV,0
12-02-2020,PROPERTY,LAS,0
12-02-2020,ENTERPRISE,,184
12-02-2020,PROPERTY,CLV,46
12-02-2020,PROPERTY,FLV,138
13-02-2020,PROPERTY,FLV,0
13-02-2020,MARKET,,0
13-02-2020,PROPERTY,LAS,0
13-02-2020,ENTERPRISE,,0
14-02-2020,MARKET,,0
14-02-2020,ENTERPRISE,,0
14-02-2020,PROPERTY,LAS,0
17-02-2020,PROPERTY,FLV,376
17-02-2020,PROPERTY,ILV,0
17-02-2020,MARKET,,376
17-02-2020,ENTERPRISE,,376
17-02-2020,PROPERTY,LAS,0
18-02-2020,PROPERTY,DLV,0
18-02-2020,PROPERTY,ILV,0
18-02-2020,ENTERPRISE,,194
18-02-2020,PROPERTY,FLV,194
18-02-2020,PROPERTY,LAS,0
18-02-2020,MARKET,,194
19-02-2020,ENTERPRISE,,0
19-02-2020,PROPERTY,DLV,0
19-02-2020,MARKET,,0
19-02-2020,PROPERTY,LAS,0
19-02-2020,PROPERTY,ILV,0
22-02-2020,MARKET,,0
22-02-2020,PROPERTY,RIN,0
22-02-2020,ENTERPRISE,,0
28-02-2020,ENTERPRISE,,282
28-02-2020,MARKET,,282
28-02-2020,PROPERTY,LAU,282
29-02-2020,PROPERTY,LAU,130
29-02-2020,MARKET,,130
29-02-2020,ENTERPRISE,,130
01-03-2020,PROPERTY,LAU,0
01-03-2020,ENTERPRISE,,0
01-03-2020,MARKET,,0
02-03-2020,PROPERTY,LAS,0
02-03-2020,ENTERPRISE,,0
02-03-2020,MARKET,,0
04-03-2020,ENTERPRISE,,195
04-03-2020,PROPERTY,FLV,195
04-03-2020,PROPERTY,LAS,0
04-03-2020,MARKET,,195
04-03-2020,PROPERTY,DLV,0
04-03-2020,PROPERTY,ILV,0
05-03-2020,PROPERTY,DLV,0
05-03-2020,MARKET,,0
05-03-2020,PROPERTY,LAS,0
05-03-2020,ENTERPRISE,,0
10-03-2020,MARKET,,0
10-03-2020,ENTERPRISE,,0
10-03-2020,PROPERTY,LAS,0
10-03-2020,PROPERTY,FLV,0
11-03-2020,MARKET,,0
11-03-2020,ENTERPRISE,,0
11-03-2020,PROPERTY,LAS,0
11-03-2020,PROPERTY,FLV,0
12-03-2020,MARKET,,0
12-03-2020,ENTERPRISE,,0
12-03-2020,PROPERTY,FLV,0
12-03-2020,PROPERTY,DLV,0
12-03-2020,PROPERTY,LAS,0
13-03-2020,PROPERTY,FLV,0
13-03-2020,PROPERTY,LAS,0
13-03-2020,ENTERPRISE,,0
13-03-2020,MARKET,,0
13-03-2020,PROPERTY,DLV,0
15-03-2020,PROPERTY,LAS,0
15-03-2020,ENTERPRISE,,0
15-03-2020,MARKET,,0
15-03-2020,PROPERTY,ILV,0
02-08-2020,ENTERPRISE,,0
02-08-2020,MARKET,,0
02-08-2020,PROPERTY,LAS,0
03-08-2020,PROPERTY,FLV,0
03-08-2020,MARKET,,0
03-08-2020,PROPERTY,LAS,0
03-08-2020,PROPERTY,ILV,0
03-08-2020,ENTERPRISE,,0
03-08-2020,PROPERTY,BLV,0
03-08-2020,PROPERTY,PLV,0
04-08-2020,PROPERTY,ILV,0
04-08-2020,PROPERTY,FLV,0
04-08-2020,MARKET,,0
04-08-2020,ENTERPRISE,,0
04-08-2020,PROPERTY,BLV,0
04-08-2020,PROPERTY,LAS,0
05-08-2020,PROPERTY,ILV,0
05-08-2020,PROPERTY,FLV,0
05-08-2020,MARKET,,0
05-08-2020,ENTERPRISE,,0
05-08-2020,PROPERTY,LAS,0
06-08-2020,MARKET,,0
06-08-2020,ENTERPRISE,,0
06-08-2020,PROPERTY,LAS,0
06-08-2020,PROPERTY,ILV,0
07-08-2020,MARKET,,0
07-08-2020,ENTERPRISE,,0
07-08-2020,PROPERTY,TAH,0
08-08-2020,ENTERPRISE,,0
08-08-2020,PROPERTY,TAH,0
08-08-2020,MARKET,,0
09-08-2020,PROPERTY,TRW,0
09-08-2020,ENTERPRISE,,0
09-08-2020,MARKET,,0
09-08-2020,PROPERTY,TAH,0
09-08-2020,MARKET,,0
10-08-2020,ENTERPRISE,,0
10-08-2020,PROPERTY,HLT,0
10-08-2020,MARKET,,0
